PassengerId,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
892,0,0,34.5,0,0,330911,7.8292,0,1,0,0,0,1
893,1,1,47.0,1,0,363272,7.0,0,0,1,0,0,1
894,0,0,62.0,0,0,240276,9.6875,0,1,0,0,1,0
895,0,0,27.0,0,0,315154,8.6625,0,0,1,0,0,1
896,1,1,22.0,1,1,3101298,12.2875,0,0,1,0,0,1
897,0,0,14.0,0,0,7538,9.225,0,0,1,0,0,1
898,1,1,30.0,0,0,330972,7.6292,0,1,0,0,0,1
899,0,0,26.0,1,1,248738,29.0,0,0,1,0,1,0
900,1,1,18.0,0,0,2657,7.2292,1,0,0,0,0,1
901,0,0,21.0,2,0,4,24.15,0,0,1,0,0,1
902,0,0,27.0,0,0,349220,7.8958,0,0,1,0,0,1
903,0,0,46.0,0,0,694,26.0,0,0,1,1,0,0
904,1,1,23.0,1,0,21228,82.2667,0,0,1,1,0,0
905,0,0,63.0,1,0,24065,26.0,0,0,1,0,1,0
906,1,1,47.0,1,0,5734,61.175,0,0,1,1,0,0
907,1,1,24.0,1,0,2167,27.7208,1,0,0,0,1,0
908,0,0,35.0,0,0,233734,12.35,0,1,0,0,1,0
909,0,0,21.0,0,0,2692,7.225,1,0,0,0,0,1
910,1,1,27.0,1,0,2,7.925,0,0,1,0,0,1
911,1,1,45.0,0,0,2696,7.225,1,0,0,0,0,1
912,0,0,55.0,1,0,17603,59.4,1,0,0,1,0,0
913,0,0,9.0,0,1,17368,3.1708,0,0,1,0,0,1
914,1,1,27.0,0,0,17598,31.6833,0,0,1,1,0,0
915,0,0,21.0,0,1,17597,61.3792,1,0,0,1,0,0
916,1,1,48.0,1,3,17608,262.375,1,0,0,1,0,0
917,0,0,50.0,1,0,5,14.5,0,0,1,0,0,1
918,1,1,22.0,0,1,113509,61.9792,1,0,0,1,0,0
919,0,0,22.5,0,0,2698,7.225,1,0,0,0,0,1
920,0,0,41.0,0,0,113054,30.5,0,0,1,1,0,0
921,0,0,27.0,2,0,2662,21.6792,1,0,0,0,0,1
922,0,0,50.0,1,0,3085,26.0,0,0,1,0,1,0
923,0,0,24.0,2,0,31029,31.5,0,0,1,0,1,0
924,1,1,33.0,1,2,2315,20.575,0,0,1,0,0,1
925,1,1,27.0,1,2,6607,23.45,0,0,1,0,0,1
926,0,0,30.0,1,0,13236,57.75,1,0,0,1,0,0
927,0,0,18.5,0,0,2682,7.2292,1,0,0,0,0,1
928,1,1,27.0,0,0,342712,8.05,0,0,1,0,0,1
929,1,1,21.0,0,0,315087,8.6625,0,0,1,0,0,1
930,0,0,25.0,0,0,345768,9.5,0,0,1,0,0,1
931,0,0,27.0,0,0,1601,56.4958,0,0,1,0,0,1
